#Enter lib upload/conversion:
#0:00:03.815759
#Enter library dictionary upload:
#0:00:16.598803
#enter spectra comparison:
#0:01:24.325383
Index,TimeElapsed,NumPeaks,ExpPrecursorMz,NumLibrarySpectra
5500,4.928515263999998,80,749.5,806
5600,3.746574417999909,56,799.5,729
5700,3.1269651740001336,59,849.5,698
5800,2.585975468000015,30,899.5,474
5900,2.413740471999972,30,949.5,439
6000,1.90409984300004,27,999.5,346
6100,2.3612874099999317,118,449.5,589
6200,2.7862471500000083,266,499.5,782
6300,3.6401168489999236,122,549.5,1146
6400,3.844066587000043,46,599.5,1128
6500,3.861696911000081,79,649.5,1142
6600,4.0291496180000195,84,699.5,983
6700,3.200387282999827,79,749.5,806
6800,2.919974117000038,37,799.5,729
6900,3.1342678420000993,21,849.5,698
7000,2.3663096909999695,18,899.5,474
7100,2.1259197939998558,20,949.5,439
7200,2.3858725930001583,21,999.5,346
7300,2.602029499999844,136,449.5,589
7400,3.010811128000114,124,499.5,782
7500,3.478655715000059,121,549.5,1146
7600,3.933903743999963,296,599.5,1128
7700,4.261876924000035,145,649.5,1142
7800,4.302228146999823,220,699.5,983
7900,4.04110800400008,179,749.5,806
8000,3.584902560000046,63,799.5,729
8100,2.6295493509999233,106,849.5,698
8200,2.464503727999954,67,899.5,474
8300,2.0952449820001675,84,949.5,439
8400,2.174002497999936,81,999.5,346
8500,2.3291182919999756,279,449.5,589
8600,2.8338548609999634,160,499.5,782
8700,3.5967760769999586,128,549.5,1146
8800,3.789431940000213,183,599.5,1128
8900,3.7451311519998853,190,649.5,1142
9000,3.4517636230000335,230,699.5,983
9100,3.0667220889999953,297,749.5,806
9200,3.2417202379999708,122,799.5,729
9300,2.427032369000017,136,849.5,698
9400,2.5627214070000264,102,899.5,474
9500,2.0844668629999887,55,949.5,439
9600,1.946005801999945,355,999.5,346
9700,2.248993804000065,138,449.5,589
9800,2.8547444690000248,131,499.5,782
9900,3.5777909290000025,126,549.5,1146
10000,3.6865238559998943,135,599.5,1128
10100,3.645504103000121,124,649.5,1142
10200,3.4186264269999356,80,699.5,983
10300,3.1407747700000073,55,749.5,806
10400,2.598019839000017,124,799.5,729
10500,2.666557724999848,88,849.5,698
10600,2.2520706110001356,91,899.5,474
10700,2.0434859090000828,59,949.5,439
10800,1.8776895739999873,45,999.5,346
10900,2.3223524289999204,146,449.5,589
11000,3.054554283000016,259,499.5,782
11100,3.261873272999992,171,549.5,1146
11200,4.103993130999925,255,599.5,1128
11300,3.752371513000071,82,649.5,1142
11400,3.4724144720000822,212,699.5,983
11500,2.981120789999977,329,749.5,806
11600,2.9939290289999008,126,799.5,729
11700,2.4548627950000537,30,849.5,698
11800,2.227102925000054,62,899.5,474
11900,2.0361956919998647,25,949.5,439
12000,2.1076590950001446,19,999.5,346
12100,2.3492069540000102,512,449.5,589
12200,2.7317582869998205,75,499.5,782
12300,3.445852950000017,78,549.5,1146
12400,3.6641631049999432,159,599.5,1128
12500,3.606880517000036,22,649.5,1142
12600,3.4544153690001167,23,699.5,983
12700,3.105992715999946,36,749.5,806
12800,2.594595584999979,14,799.5,729
12900,3.8868229889999384,25,849.5,698
13000,2.686637297000061,16,899.5,474
13100,2.1126284990000386,26,949.5,439
13200,2.3274557909999203,24,999.5,346
13300,2.835834749000014,18,449.5,589
13400,4.089839752999978,29,499.5,782
13500,3.8140239750000546,26,549.5,1146
13600,3.802690795999979,24,599.5,1128
13700,3.687331290999964,25,649.5,1142
13800,3.4598899130000973,21,699.5,983
13900,3.329657774999987,9,749.5,806
14000,2.6726949730000342,25,799.5,729
14100,2.726319794999881,25,849.5,698
14200,2.301163736000035,18,899.5,474
